epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.228,0.79987,2.34175,1.41288,0.72604,0.55311,0.57876,0.42971,0.90014,1.11465,1.7744,0.00333037,0.00333037,0.00333037
2,465.147,0.74473,1.47965,1.34341,0.79259,0.55154,0.62487,0.46537,0.9267,1.13146,1.82639,0.00659774,0.00659774,0.00659774
3,695.555,0.78343,1.29688,1.36181,0.49212,0.55573,0.57759,0.41385,0.99496,1.18468,1.97116,0.0097991,0.0097991,0.0097991
4,866.594,0.78049,1.16373,1.35619,0.59576,0.63138,0.67083,0.5023,0.90219,0.88557,1.75291,0.009703,0.009703,0.009703
5,994.963,0.74364,1.02798,1.32501,0.62284,0.63204,0.67573,0.52357,0.86419,0.80882,1.72127,0.009604,0.009604,0.009604
6,1123.31,0.71667,0.9537,1.30161,0.65712,0.67815,0.71687,0.55208,0.85117,0.67657,1.68787,0.009505,0.009505,0.009505
7,1251.78,0.69675,0.90652,1.28862,0.78678,0.6796,0.72451,0.56408,0.8672,0.66924,1.6839,0.009406,0.009406,0.009406
8,1409.14,0.68461,0.86273,1.27805,0.7617,0.66658,0.72725,0.57947,0.80905,0.70182,1.62482,0.009307,0.009307,0.009307
9,1640.92,0.66899,0.83066,1.2682,0.81018,0.6839,0.72937,0.58193,0.80061,0.58908,1.60944,0.009208,0.009208,0.009208
10,1862.94,0.65374,0.80053,1.25387,0.81116,0.67965,0.72083,0.5617,0.83963,0.60512,1.64533,0.009109,0.009109,0.009109
11,2084.79,0.65055,0.78236,1.2488,0.82983,0.70996,0.74987,0.60446,0.79258,0.52506,1.58577,0.00901,0.00901,0.00901
12,2306.84,0.63938,0.75927,1.24333,0.83219,0.72322,0.7582,0.61294,0.78376,0.51085,1.59195,0.008911,0.008911,0.008911
13,2528.77,0.63096,0.73959,1.23673,0.82674,0.72117,0.75777,0.61431,0.77619,0.51044,1.56046,0.008812,0.008812,0.008812
14,2750.88,0.63139,0.72061,1.23566,0.83263,0.69957,0.76449,0.61695,0.77907,0.51919,1.58108,0.008713,0.008713,0.008713
15,2972.9,0.62046,0.71433,1.22923,0.85287,0.70809,0.79064,0.64988,0.761,0.46619,1.55112,0.008614,0.008614,0.008614
16,3195.03,0.61397,0.70053,1.22145,0.83513,0.73067,0.79396,0.65203,0.76833,0.47547,1.55077,0.008515,0.008515,0.008515
17,3416.92,0.60993,0.68944,1.22011,0.8434,0.72887,0.79509,0.65294,0.7411,0.45284,1.52033,0.008416,0.008416,0.008416
18,3639.03,0.60514,0.678,1.21463,0.84738,0.72239,0.75361,0.62043,0.77004,0.47878,1.54682,0.008317,0.008317,0.008317
19,3860.95,0.60229,0.66927,1.21377,0.85532,0.71826,0.7671,0.63249,0.74539,0.44233,1.50801,0.008218,0.008218,0.008218
20,4082.9,0.60013,0.65949,1.21228,0.86076,0.72305,0.79306,0.65582,0.74855,0.43869,1.51867,0.008119,0.008119,0.008119
21,4304.94,0.59626,0.64461,1.20928,0.85152,0.71976,0.79439,0.66583,0.7303,0.44035,1.49627,0.00802,0.00802,0.00802
22,4526.93,0.59185,0.63832,1.20637,0.8532,0.73532,0.76322,0.63572,0.73076,0.42154,1.49823,0.007921,0.007921,0.007921
23,4748.85,0.58966,0.62928,1.20456,0.8617,0.7282,0.77702,0.64733,0.73017,0.4279,1.50431,0.007822,0.007822,0.007822
24,4970.87,0.58675,0.62325,1.2006,0.84934,0.72732,0.80486,0.67473,0.72248,0.41447,1.48598,0.007723,0.007723,0.007723
25,5192.81,0.5833,0.617,1.19973,0.86168,0.73642,0.79954,0.67519,0.72543,0.40745,1.49166,0.007624,0.007624,0.007624
26,5414.78,0.57468,0.60748,1.19189,0.85799,0.73435,0.80119,0.67483,0.71715,0.39836,1.47736,0.007525,0.007525,0.007525
27,5636.82,0.57616,0.60439,1.19423,0.86641,0.73796,0.80053,0.67036,0.72232,0.39205,1.48106,0.007426,0.007426,0.007426
28,5858.77,0.56983,0.60072,1.19047,0.86332,0.73788,0.80046,0.67012,0.73195,0.39249,1.49229,0.007327,0.007327,0.007327
29,6080.7,0.57003,0.59153,1.19019,0.86357,0.74089,0.78063,0.65613,0.71731,0.39103,1.47521,0.007228,0.007228,0.007228
30,6302.58,0.57149,0.59072,1.19023,0.86367,0.73783,0.80428,0.68084,0.72013,0.38968,1.48216,0.007129,0.007129,0.007129
31,6524.46,0.56664,0.57993,1.18571,0.86199,0.74205,0.80175,0.67787,0.71403,0.39499,1.46987,0.00703,0.00703,0.00703
32,6746.34,0.56231,0.57859,1.18513,0.86059,0.73874,0.82052,0.69445,0.71468,0.38915,1.48138,0.006931,0.006931,0.006931
33,6968.3,0.56005,0.56781,1.18182,0.85868,0.74069,0.80199,0.67984,0.71129,0.39016,1.46625,0.006832,0.006832,0.006832
34,7190.16,0.56215,0.56282,1.18242,0.85187,0.74411,0.80283,0.68102,0.70982,0.39067,1.46521,0.006733,0.006733,0.006733
35,7412.22,0.55649,0.5623,1.1802,0.85917,0.73957,0.80703,0.68659,0.70372,0.38329,1.45856,0.006634,0.006634,0.006634
36,7634.22,0.55366,0.54971,1.17598,0.86653,0.73999,0.81049,0.69231,0.70649,0.38186,1.46262,0.006535,0.006535,0.006535
37,7856.19,0.55167,0.55262,1.1751,0.8632,0.74,0.80732,0.6879,0.70207,0.37386,1.45172,0.006436,0.006436,0.006436
38,8078.05,0.5505,0.5515,1.17742,0.86369,0.73929,0.80677,0.68734,0.70053,0.3792,1.45254,0.006337,0.006337,0.006337
39,8300.18,0.54903,0.54286,1.17475,0.85794,0.74399,0.80718,0.68719,0.70229,0.38093,1.45525,0.006238,0.006238,0.006238
40,8522.05,0.54935,0.53853,1.1728,0.86312,0.74497,0.80624,0.68728,0.69706,0.37452,1.4458,0.006139,0.006139,0.006139
41,8744.16,0.5447,0.53819,1.17211,0.86328,0.74357,0.8055,0.68638,0.70159,0.37537,1.4504,0.00604,0.00604,0.00604
42,8966.07,0.54523,0.53031,1.17052,0.86317,0.74443,0.80533,0.68656,0.6984,0.37174,1.44552,0.005941,0.005941,0.005941
43,9188.24,0.5398,0.52354,1.16782,0.86433,0.74597,0.80658,0.68805,0.69521,0.36981,1.4424,0.005842,0.005842,0.005842
44,9410.1,0.53803,0.52387,1.1639,0.86018,0.74754,0.80888,0.69091,0.69586,0.36692,1.44247,0.005743,0.005743,0.005743
45,9632.08,0.53868,0.51926,1.16477,0.86466,0.745,0.80577,0.68808,0.69622,0.36596,1.44344,0.005644,0.005644,0.005644
46,9854.07,0.53985,0.51722,1.16797,0.86351,0.74469,0.80625,0.68832,0.69807,0.36529,1.44543,0.005545,0.005545,0.005545
47,10076.2,0.53501,0.50946,1.16295,0.8607,0.74759,0.80445,0.68725,0.69691,0.3655,1.44144,0.005446,0.005446,0.005446
48,10298.2,0.53093,0.50412,1.15935,0.86227,0.74504,0.80462,0.68662,0.69773,0.36619,1.44068,0.005347,0.005347,0.005347
49,10520.3,0.52917,0.50155,1.15982,0.8637,0.74376,0.8041,0.68585,0.6967,0.36591,1.43962,0.005248,0.005248,0.005248
50,10745.5,0.53019,0.50427,1.16027,0.86341,0.74446,0.80219,0.68564,0.69632,0.36394,1.43982,0.005149,0.005149,0.005149
51,10975.6,0.52855,0.49486,1.15833,0.86454,0.74487,0.80524,0.68792,0.69717,0.36277,1.4409,0.00505,0.00505,0.00505
52,11205.8,0.52684,0.48971,1.15865,0.86428,0.74673,0.80571,0.6887,0.69804,0.36122,1.44213,0.004951,0.004951,0.004951
53,11436,0.52215,0.49398,1.1546,0.86394,0.74772,0.80554,0.68855,0.69892,0.36132,1.44344,0.004852,0.004852,0.004852
54,11666.2,0.52488,0.48469,1.15536,0.86436,0.74583,0.80407,0.68719,0.69918,0.36194,1.44445,0.004753,0.004753,0.004753
55,11896.5,0.52133,0.48474,1.15345,0.8631,0.7449,0.80465,0.68705,0.69893,0.36317,1.44441,0.004654,0.004654,0.004654
56,12126.7,0.51778,0.48284,1.15332,0.86459,0.7443,0.80559,0.68843,0.69954,0.36244,1.44543,0.004555,0.004555,0.004555
57,12357,0.51703,0.4764,1.15035,0.86439,0.74408,0.8059,0.68818,0.69943,0.36174,1.44543,0.004456,0.004456,0.004456
58,12587.2,0.51514,0.47209,1.14939,0.86365,0.74464,0.80627,0.68842,0.69933,0.36071,1.44536,0.004357,0.004357,0.004357
59,12817.3,0.51558,0.4709,1.14775,0.8634,0.74613,0.80722,0.68962,0.69879,0.35982,1.44509,0.004258,0.004258,0.004258
60,13047.6,0.51589,0.46909,1.14901,0.86288,0.74729,0.80724,0.69047,0.6986,0.35891,1.44487,0.004159,0.004159,0.004159
61,13277.7,0.51308,0.46785,1.14852,0.86252,0.74624,0.80702,0.69002,0.69839,0.35848,1.44509,0.00406,0.00406,0.00406
62,13507.8,0.50742,0.45813,1.1446,0.86528,0.74462,0.80704,0.69107,0.69785,0.35756,1.4445,0.003961,0.003961,0.003961
63,13738,0.5083,0.45416,1.14446,0.85819,0.7511,0.80715,0.6909,0.69735,0.35679,1.44392,0.003862,0.003862,0.003862
64,13968.2,0.50713,0.4571,1.1462,0.85839,0.75158,0.80663,0.69059,0.69696,0.3565,1.44357,0.003763,0.003763,0.003763
65,14198.3,0.50141,0.44888,1.14107,0.86059,0.74973,0.80629,0.69055,0.69651,0.35736,1.443,0.003664,0.003664,0.003664
66,14428.4,0.50108,0.45029,1.14159,0.86091,0.74953,0.80772,0.69178,0.69644,0.35705,1.44276,0.003565,0.003565,0.003565
67,14658.6,0.50099,0.43996,1.13952,0.86075,0.7498,0.80777,0.69224,0.69601,0.35683,1.44216,0.003466,0.003466,0.003466
68,14888.6,0.49934,0.44284,1.14064,0.86855,0.74289,0.80849,0.69238,0.69579,0.35663,1.44183,0.003367,0.003367,0.003367
69,15118.8,0.49877,0.44167,1.14061,0.86776,0.74321,0.80855,0.69244,0.69517,0.35667,1.44069,0.003268,0.003268,0.003268
70,15348.9,0.49333,0.43736,1.13578,0.86803,0.74374,0.80863,0.69274,0.69473,0.35594,1.43986,0.003169,0.003169,0.003169
71,15579.2,0.49381,0.43197,1.13346,0.86823,0.74438,0.80862,0.69299,0.69433,0.35586,1.43926,0.00307,0.00307,0.00307
