epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1087,1.82489,2.77847,1.34632,0.37616,0.33068,0.26713,0.1604,1.43155,1.50859,1.14878,0.00033145,0.00033145,0.00033145
2,22.9739,1.64433,1.75787,1.26894,0.50243,0.36041,0.33939,0.21859,1.23291,1.35986,1.12511,0.000651621,0.000651621,0.000651621
3,30.763,1.63122,1.58748,1.2507,0.48427,0.42759,0.36081,0.20032,1.31176,1.3171,1.16069,0.000958591,0.000958591,0.000958591
4,38.5538,1.5813,1.50817,1.23751,0.57992,0.49048,0.49122,0.32101,1.17977,1.22279,1.11241,0.0009406,0.0009406,0.0009406
5,46.3686,1.55595,1.41361,1.21564,0.66865,0.55616,0.53462,0.34554,1.31552,1.1505,1.10281,0.0009208,0.0009208,0.0009208
6,54.2406,1.5426,1.3553,1.22153,0.63866,0.57333,0.55947,0.36852,1.14621,1.11197,1.06855,0.000901,0.000901,0.000901
7,62.0868,1.493,1.28888,1.17531,0.66876,0.51646,0.5195,0.31341,1.19585,1.12138,1.08836,0.0008812,0.0008812,0.0008812
8,70.0206,1.49134,1.27057,1.18315,0.69702,0.54054,0.56519,0.3545,1.2304,1.1601,1.09286,0.0008614,0.0008614,0.0008614
9,77.8924,1.48959,1.26657,1.20452,0.69351,0.53787,0.55451,0.36717,1.15131,1.03132,1.0889,0.0008416,0.0008416,0.0008416
1,10.3522,1.82489,2.77847,1.34632,0.37616,0.33068,0.26713,0.1604,1.43155,1.50859,1.14878,0.00033145,0.00033145,0.00033145
2,18.2273,1.64433,1.75787,1.26894,0.50243,0.36041,0.33939,0.21859,1.23291,1.35986,1.12511,0.000651621,0.000651621,0.000651621
3,26.0464,1.63122,1.58748,1.2507,0.48427,0.42759,0.36081,0.20032,1.31176,1.3171,1.16069,0.000958591,0.000958591,0.000958591
4,33.7938,1.5813,1.50817,1.23751,0.57992,0.49048,0.49122,0.32101,1.17977,1.22279,1.11241,0.0009406,0.0009406,0.0009406
5,41.5518,1.55595,1.41361,1.21564,0.66865,0.55616,0.53462,0.34554,1.31552,1.1505,1.10281,0.0009208,0.0009208,0.0009208
6,49.4406,1.5426,1.3553,1.22153,0.63866,0.57333,0.55947,0.36852,1.14621,1.11197,1.06855,0.000901,0.000901,0.000901
7,59.2928,1.493,1.28888,1.17531,0.66876,0.51646,0.5195,0.31341,1.19585,1.12138,1.08836,0.0008812,0.0008812,0.0008812
8,72.9186,1.49134,1.27057,1.18315,0.69702,0.54054,0.56519,0.3545,1.2304,1.1601,1.09286,0.0008614,0.0008614,0.0008614
